batch_invoice_no,batch_invoice_date,batch_waybill_no,batch_waybill_date,device_id,meter_created_at,phase_type,sim_no,imei_no,whm_system_utility,last_meter_location,swh_delivery_time,current_meter_status,status,edf_vendor_manager_name,batch_supplier,whm_vendor_manager_name,date_of_dispatch_to_OEM_repair,date_of_receipt_of_meter_WH,date_of_receipt_of_refurbished,refurbished_meter_received_date,faulty_declared_date,s2s_faulty_declared_date,s2s_date_of_receipt_of_meter_WH,s2s_date_of_dispatch_to_OEM_repair,s2s_date_of_receipt_of_refurbished,s2s_refurbished_meter_received_date,reveived_date,vendor_dispatched_date,swh_inventory_status
1170469932,10-Apr-21,181323562027,10-Apr-21,RE_LT0001801,"14/09/2022 12:01:24 PM","1 Phase",8991856050706003462,866545055737909,NBPD,"Main Warehouse",1663653613,"Main Warehouse","New Meter",,L&T,,,,,,,,,,,,15-Apr-21,2022-09-20,Outstock
1170469932,10-Apr-21,181323562027,10-Apr-21,NR_LT0001802,"14/09/2022 12:01:24 PM","1 Phase",8991856050706003461,866545055745910,NBPD,EDFO&M_KantiNB,1663653613,"Open in VP warehouse","New Meter",,L&T,,,,,,,,,,,,15-Apr-21,2022-09-20,Outstock
1170469932,10-Apr-21,181323562027,10-Apr-21,RE_LT0001803,"14/09/2022 12:01:24 PM","1 Phase",8991856050706003466,866545055715954,NBPD,DalshingsaraiDiscom_DalshingsaraiNB,1663653613,"Open in VP warehouse","New Meter",,L&T,,,,,,,,,,,,15-Apr-21,2022-09-20,Outstock
1170469932,10-Apr-21,181323562027,10-Apr-21,LT0001804,"14/09/2022 12:01:24 PM","1 Phase",8991856050706003453,866545055745712,NBPD,"Main Warehouse",1663140579,"Main Warehouse","New Meter",,L&T,,,,,,,,,,,,15-Apr-21,2022-09-15,NA
1170469932,10-Apr-21,181323562027,10-Apr-21,LT0001805,"14/09/2022 12:01:24 PM","1 Phase",8991856050706003454,866545055747296,NBPD,"Main Warehouse",1663140579,"Main Warehouse","New Meter",,L&T,,,,,,,,,,,,15-Apr-21,2022-09-15,NA
1170469932,10-Apr-21,181323562027,10-Apr-21,LT0001806,"14/09/2022 12:01:24 PM","1 Phase",8991856050706003463,866545055745233,NBPD,"Main Warehouse",1663140579,"Main Warehouse","New Meter",,L&T,,,,,,,,,,,,15-Apr-21,2022-09-15,NA
1170469932,10-Apr-21,181323562027,10-Apr-21,LT0001807,"14/09/2022 12:01:24 PM","1 Phase",8991856050706003471,866545055716234,NBPD,"Main Warehouse",1663140579,"Main Warehouse","New Meter",,L&T,,,,,,,,,,,,15-Apr-21,2022-09-15,NA
1170469932,10-Apr-21,181323562027,10-Apr-21,LT0001808,"14/09/2022 12:01:24 PM","1 Phase",8991856050706003470,866545055731290,NBPD,"Main Warehouse",1663140579,"Main Warehouse","New Meter",,L&T,,,,,,,,,,,,15-Apr-21,2022-09-15,NA
1170469932,10-Apr-21,181323562027,10-Apr-21,LT0001809,"14/09/2022 12:01:24 PM","1 Phase",8991856050706003460,866545055713140,NBPD,"Main Warehouse",1663140579,"Main Warehouse","New Meter",,L&T,,,,,,,,,,,,15-Apr-21,2022-09-15,NA
1170469932,10-Apr-21,181323562027,10-Apr-21,LT0001810,"14/09/2022 12:01:24 PM","1 Phase",8991856050706003469,866545055714478,NBPD,"Main Warehouse",1663140579,"Main Warehouse","New Meter",,L&T,,,,,,,,,,,,15-Apr-21,2022-09-15,NA
1170469932,10-Apr-21,181323562027,10-Apr-21,LT0001811,"14/09/2022 12:01:24 PM","1 Phase",8991856050706003472,866545055761370,NBPD,"Main Warehouse",1663140579,"Main Warehouse","New Meter",,L&T,,,,,,,,,,,,15-Apr-21,2022-09-15,NA
