batch_invoice_no,batch_invoice_date,batch_waybill_no,batch_waybill_date,device_id,meter_created_at,phase_type,sim_no,imei_no,whm_system_utility,last_meter_location,swh_delivery_time,current_meter_status,status,edf_vendor_manager_name,batch_supplier,whm_vendor_manager_name,date_of_dispatch_to_OEM_repair,date_of_receipt_of_meter_WH,date_of_receipt_of_refurbished,refurbished_meter_received_date,faulty_declared_date,s2s_faulty_declared_date,s2s_date_of_receipt_of_meter_WH,s2s_date_of_dispatch_to_OEM_repair,s2s_date_of_receipt_of_refurbished,s2s_refurbished_meter_received_date,reveived_date,vendor_dispatched_date,swh_inventory_status
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448230,"14/09/2022 12:35:23 PM","1 Phase",8991597052141848705,863709022605507,SBPD,"S2S Meter Sent To Supplier",1663140946,"S2S Meter Sent To Supplier","New Meter",,"Genus 3G","Genus 3G",12/17/2022,12/16/2022,12/18/2022,,12/15/2022,,,2022-12-15,,,30-Oct-18,2022-09-15,NA
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448231,"14/09/2022 12:35:23 PM","1 Phase",8991597052141848704,863709023117593,SBPD,"Main Warehouse",1663140946,"Main Warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,NA
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448232,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848819,863709024866040,SBPD,"Main Warehouse",1663140946,"Main Warehouse","New Meter",,"Genus 3G",,2022-12-17,2022-12-16,2022-12-18,,2022-12-15,,,,,,30-Oct-18,2022-09-15,NA
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448233,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848818,863709024880603,SBPD,"Main Warehouse",1663140946,"Main Warehouse","New Meter",,"Genus 3G",,2022-12-17,2022-12-16,2022-12-18,,2022-12-15,,,,,,30-Oct-18,2022-09-15,NA
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448234,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848816,863709024877229,SBPD,"Main Warehouse",1663140946,"Main Warehouse","New Meter",,"Genus 3G",,2022-12-15,2022-12-15,2022-12-15,,2022-12-15,,,,,,30-Oct-18,2022-09-15,NA
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448235,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848817,863709024852735,SBPD,"Main Warehouse",1663140946,"Main Warehouse","New Meter",,"Genus 3G","Genus 3G",,,,,,2022-12-15,2022-12-15,2022-12-15,2022-12-15,,30-Oct-18,2022-09-15,NA
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448237,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848809,863709024842843,SBPD,"Main Warehouse",1663140946,"Main Warehouse","New Meter",,"Genus 3G","Genus 3G",,,,,,2022-12-15,2022-12-15,2022-12-15,2022-12-15,,30-Oct-18,2022-09-15,NA
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448238,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848858,863709024846430,SBPD,"Main warehouse(S2S Pending Acceptance)",1663140946,"Main warehouse(S2S Pending Acceptance)",Damaged,,"Genus 3G","Genus 3G",,,,,,2022-12-15,2022-12-15,2022-12-15,2022-12-15,,30-Oct-18,2022-09-15,NA
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448239,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848800,863709024846471,SBPD,"Main Warehouse",1663140946,"Main Warehouse","New Meter",,"Genus 3G",,2022-12-15,2022-12-15,2022-12-15,,2022-12-15,,,,,,30-Oct-18,2022-09-15,NA
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448240,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848708,863709024851745,SBPD,"Main Warehouse",1663140946,"Main Warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,NA
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448241,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848709,863709024887186,SBPD,"Main Warehouse",1663140946,"Main Warehouse","New Meter",,"Genus 3G","Genus 3G",,,,,,2022-12-15,2022-12-15,2022-12-15,2022-12-15,,30-Oct-18,2022-09-15,NA
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448242,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848839,863709024877385,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
