device_id,phase_type,box_no
GP4875768,1 Phase,164
GP4880814,1 Phase,1005
GP4964432,1 Phase,2729
GP4448236,1 Phase,138168
GP4448248,1 Phase,138170
GP4448261,1 Phase,138172
GP4448280,1 Phase,138176
GP4448283,1 Phase,138176
GP4448290,1 Phase,138177
GP4448301,1 Phase,138179
GP4448322,1 Phase,138183
GP4448330,1 Phase,138184
GP4448333,1 Phase,138184
GP4448366,1 Phase,138190
GP4448377,1 Phase,138192
GP4448390,1 Phase,138194
GP4448415,1 Phase,138198
GP4448417,1 Phase,138198
GP1027599,3 Phase,1415
GP1028976,3 Phase,1760
GP7424455,1 Phase,16
GP4464608,1 Phase,864
GP4465673,1 Phase,1041
GP4467838,1 Phase,1402
GP4459973,1 Phase,1680
GP4463845,1 Phase,1779
GP4463972,1 Phase,1784
GP4463982,1 Phase,1792
GP4460725,1 Phase,1821
GP4460720,1 Phase,1824
GP4461184,1 Phase,1825
GP4461185,1 Phase,1825
GP4462084,1 Phase,1826
GP4462086,1 Phase,1826
GP4461193,1 Phase,1830
GP4460721,1 Phase,1830
GP4461191,1 Phase,1830
GP4461209,1 Phase,1836
GP4460763,1 Phase,1837
GP4459465,1 Phase,6
GP4459530,1 Phase,17
GP4459650,1 Phase,37
GP4459670,1 Phase,41
GP4459696,1 Phase,45
GP4459725,1 Phase,50
GP4459726,1 Phase,50
GP4459729,1 Phase,50
GP4459896,1 Phase,78
GP4459897,1 Phase,78
GP4459933,1 Phase,84
GP4460002,1 Phase,96
GP4460004,1 Phase,96
GP4460022,1 Phase,99
GP4460476,1 Phase,175
GP4460502,1 Phase,179
GP4460554,1 Phase,188
GP4460556,1 Phase,188
GP4460834,1 Phase,235
GP4460889,1 Phase,244
GP4462661,1 Phase,539
GP4463338,1 Phase,652
GP4463339,1 Phase,652
GP7609611,1 Phase,722
GP7609721,1 Phase,735
GP7609750,1 Phase,739
GP7609300,1 Phase,683
GP7609302,1 Phase,683
GP7609357,1 Phase,690
GP7609431,1 Phase,699
GP7627007,1 Phase,2896
GP7627009,1 Phase,2896
GP7627014,1 Phase,2897
GP7627025,1 Phase,2898
GP7627029,1 Phase,2899
GP7627031,1 Phase,2899
GP7627032,1 Phase,2899
GP7627038,1 Phase,2900
GP7627039,1 Phase,2900
GP7627045,1 Phase,2901
GP7627050,1 Phase,2901
GP7627058,1 Phase,2902
GP7627059,1 Phase,2903
GP7627062,1 Phase,2903
GP7627063,1 Phase,2903
GP7627065,1 Phase,2903
GP7627067,1 Phase,2904
GP7627075,1 Phase,2905
GP7627077,1 Phase,2905
GP7627080,1 Phase,2905
GP7627093,1 Phase,2907
GP7627110,1 Phase,2909
GP7627149,1 Phase,2914
GP7627151,1 Phase,2914
GP7627152,1 Phase,2914
GP7627159,1 Phase,2915
GP7627160,1 Phase,2915
GP7627161,1 Phase,2915
GP7627164,1 Phase,2916
GP7627165,1 Phase,2916
GP7627166,1 Phase,2916
GP7627169,1 Phase,2916
GP7627170,1 Phase,2916
GP7627171,1 Phase,2917
GP7627185,1 Phase,2918
GP7627186,1 Phase,2918
GP7627188,1 Phase,2919
GP7627190,1 Phase,2919
GP7627192,1 Phase,2919
GP7627193,1 Phase,2919
GP7627195,1 Phase,2920
GP7627197,1 Phase,2920
GP7627198,1 Phase,2920
GP7627209,1 Phase,2921
GP7627212,1 Phase,2922
GP7627213,1 Phase,2922
GP7627214,1 Phase,2922
GP7627215,1 Phase,2922
GP7627216,1 Phase,2922
GP7627220,1 Phase,2923
GP7627221,1 Phase,2923
GP7627223,1 Phase,2923
GP7627224,1 Phase,2923
GP7627226,1 Phase,2923
GP7627227,1 Phase,2924
GP7627229,1 Phase,2924
GP7627230,1 Phase,2924
GP7627231,1 Phase,2924
GP7627235,1 Phase,2925
GP7627236,1 Phase,2925
GP7627240,1 Phase,2925
GP7627241,1 Phase,2925
GP7627243,1 Phase,2926
GP7627246,1 Phase,2926
GP7627251,1 Phase,2927
GP7627256,1 Phase,2927
GP7627259,1 Phase,2928
GP7627261,1 Phase,2928
GP7627263,1 Phase,2928
GP7627264,1 Phase,2928
GP7627265,1 Phase,2928
GP7627266,1 Phase,2928
GP7627269,1 Phase,2929
GP7627272,1 Phase,2929
GP7627274,1 Phase,2929
GP7627275,1 Phase,2930
GP7627277,1 Phase,2930
GP7627278,1 Phase,2930
GP7627282,1 Phase,2930
GP7627284,1 Phase,2931
GP7627287,1 Phase,2931
GP7627288,1 Phase,2931
GP7627289,1 Phase,2931
GP7627290,1 Phase,2931
GP7627294,1 Phase,2932
GP7627295,1 Phase,2932
GP7627298,1 Phase,2932
GP7627299,1 Phase,2933
GP7627300,1 Phase,2933
GP7627301,1 Phase,2933
GP7627305,1 Phase,2933
GP7627308,1 Phase,2934
GP7627310,1 Phase,2934
GP7627313,1 Phase,2934
GP7627314,1 Phase,2934
GP7627316,1 Phase,2935
GP7627317,1 Phase,2935
GP7627320,1 Phase,2935
GP7627321,1 Phase,2935
GP7627326,1 Phase,2936
GP7627327,1 Phase,2936
GP7627329,1 Phase,2936
GP7627331,1 Phase,2937
GP7627334,1 Phase,2937
GP7627335,1 Phase,2937
GP7627337,1 Phase,2937
GP7627338,1 Phase,2937
GP7627339,1 Phase,2938
GP7627343,1 Phase,2938
GP7627344,1 Phase,2938
GP7627345,1 Phase,2938
GP7627346,1 Phase,2938
